Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Goals),Custom field (Issue color),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Handle empty state,LMS-88,10226,Subtask,To Do,LMS,LMS,software,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,Medium,,,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,02/Apr/26 10:25 AM,02/Apr/26 10:25 AM,,,,0,Subtask under View Reviews,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,,,,,,,,,,,0|i000lz:,LMS Sprint 1,,,,,10220,LMS-85,View Reviews,To Do,02/Apr/26 10:25 AM
Display reviews,LMS-87,10224,Subtask,To Do,LMS,LMS,software,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,Medium,,,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,02/Apr/26 10:25 AM,02/Apr/26 10:25 AM,,,,0,Subtask under View Reviews,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,,,,,,,,,,,0|i000lr:,LMS Sprint 1,,,,,10220,LMS-85,View Reviews,To Do,02/Apr/26 10:25 AM
Fetch reviews,LMS-86,10222,Subtask,To Do,LMS,LMS,software,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,Medium,,,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,02/Apr/26 10:24 AM,02/Apr/26 10:25 AM,,,,0,Subtask under View Reviews,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,,,,,,,,,,,0|i000lj:,LMS Sprint 1,,,,,10220,LMS-85,View Reviews,To Do,02/Apr/26 10:25 AM
View Reviews,LMS-85,10220,Task,To Do,LMS,LMS,software,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,Medium,,,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,02/Apr/26 10:24 AM,02/Apr/26 2:26 PM,,,,0,Task under Reviews & Ratings,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,,,,,,,,,,,0|i000lb:,LMS Sprint 1,,,,,10210,LMS-80,Reviews & Ratings,To Do,02/Apr/26 10:24 AM
Submit API,LMS-84,10218,Subtask,To Do,LMS,LMS,software,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,Medium,,,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,02/Apr/26 10:24 AM,02/Apr/26 10:24 AM,,,,0,Subtask under Add Review,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,,,,,,,,,,,0|i000l3:,LMS Sprint 1,,,,,10212,LMS-81,Add Review,To Do,02/Apr/26 10:24 AM
Comment field,LMS-83,10216,Subtask,To Do,LMS,LMS,software,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,Medium,,,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,02/Apr/26 10:24 AM,02/Apr/26 10:24 AM,,,,0,Subtask under Add Review,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,,,,,,,,,,,0|i000kv:,LMS Sprint 1,,,,,10212,LMS-81,Add Review,To Do,02/Apr/26 10:24 AM
Rating input,LMS-82,10214,Subtask,To Do,LMS,LMS,software,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,Medium,,,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,02/Apr/26 10:24 AM,02/Apr/26 10:24 AM,,,,0,Subtask under Add Review,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,,,,,,,,,,,0|i000kn:,LMS Sprint 1,,,,,10212,LMS-81,Add Review,To Do,02/Apr/26 10:24 AM
Add Review,LMS-81,10212,Task,To Do,LMS,LMS,software,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,Medium,,,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,02/Apr/26 10:24 AM,02/Apr/26 2:26 PM,,,,0,Task under Reviews & Ratings,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,,,,,,,,,,,0|i000kf:,LMS Sprint 1,,,,,10210,LMS-80,Reviews & Ratings,To Do,02/Apr/26 10:24 AM
Reviews & Ratings,LMS-80,10210,Epic,To Do,LMS,LMS,software,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,Medium,,,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,02/Apr/26 10:24 AM,02/Apr/26 10:24 AM,,,,0,User feedback system,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,,,,,,,,,,,0|i000k7:,,,,,,,,,To Do,02/Apr/26 10:24 AM
Save progress,LMS-79,10209,Subtask,To Do,LMS,LMS,software,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,Medium,,,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,02/Apr/26 10:24 AM,02/Apr/26 10:24 AM,,,,0,Subtask under Progress Saving,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,,,,,,,,,,,0|i000jz:,LMS Sprint 1,,,,,10205,LMS-77,Progress Saving,To Do,02/Apr/26 10:24 AM
Track watch time,LMS-78,10207,Subtask,To Do,LMS,LMS,software,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,Medium,,,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,02/Apr/26 10:24 AM,02/Apr/26 10:24 AM,,,,0,Subtask under Progress Saving,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,,,,,,,,,,,0|i000jr:,LMS Sprint 1,,,,,10205,LMS-77,Progress Saving,To Do,02/Apr/26 10:24 AM
Progress Saving,LMS-77,10205,Task,To Do,LMS,LMS,software,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,Medium,,,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,02/Apr/26 10:24 AM,02/Apr/26 2:26 PM,,,,0,Task under Video Player,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,,,,,,,,,,,0|i000jj:,LMS Sprint 1,,,,,10197,LMS-73,Video Player,To Do,02/Apr/26 10:24 AM
Seek forward/backward,LMS-76,10203,Subtask,To Do,LMS,LMS,software,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,Medium,,,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,02/Apr/26 10:24 AM,02/Apr/26 10:24 AM,,,,0,Subtask under Player Controls,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,,,,,,,,,,,0|i000jb:,LMS Sprint 1,,,,,10199,LMS-74,Player Controls,To Do,02/Apr/26 10:24 AM
Play/pause,LMS-75,10201,Subtask,To Do,LMS,LMS,software,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,Medium,,,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,02/Apr/26 10:24 AM,02/Apr/26 10:24 AM,,,,0,Subtask under Player Controls,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,,,,,,,,,,,0|i000j3:,LMS Sprint 1,,,,,10199,LMS-74,Player Controls,To Do,02/Apr/26 10:24 AM
Player Controls,LMS-74,10199,Task,To Do,LMS,LMS,software,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,Medium,,,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,02/Apr/26 10:24 AM,02/Apr/26 2:26 PM,,,,0,Task under Video Player,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,,,,,,,,,,,0|i000iv:,LMS Sprint 1,,,,,10197,LMS-73,Video Player,To Do,02/Apr/26 10:24 AM
Video Player,LMS-73,10197,Epic,To Do,LMS,LMS,software,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,Medium,,,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,02/Apr/26 10:24 AM,02/Apr/26 10:24 AM,,,,0,Lecture playback system,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,,,,,,,,,,,0|i000in:,,,,,,,,,To Do,02/Apr/26 10:24 AM
Display progress bar,LMS-72,10196,Subtask,To Do,LMS,LMS,software,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,Medium,,,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,02/Apr/26 10:24 AM,02/Apr/26 10:24 AM,,,,0,Subtask under Progress Tracking,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,,,,,,,,,,,0|i000if:,LMS Sprint 1,,,,,10192,LMS-70,Progress Tracking,To Do,02/Apr/26 10:24 AM
Calculate progress,LMS-71,10194,Subtask,To Do,LMS,LMS,software,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,Medium,,,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,02/Apr/26 10:24 AM,02/Apr/26 10:24 AM,,,,0,Subtask under Progress Tracking,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,,,,,,,,,,,0|i000i7:,LMS Sprint 1,,,,,10192,LMS-70,Progress Tracking,To Do,02/Apr/26 10:24 AM
Progress Tracking,LMS-70,10192,Task,To Do,LMS,LMS,software,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,Medium,,,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,02/Apr/26 10:24 AM,02/Apr/26 2:26 PM,02/Apr/26 10:29 AM,,,0,Task under My Courses,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,,,,,,,,,,,0|i000hz:,LMS Sprint 1,,,,,10184,LMS-66,My Courses,To Do,02/Apr/26 10:24 AM
Show thumbnails,LMS-69,10190,Subtask,To Do,LMS,LMS,software,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,Medium,,,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,02/Apr/26 10:24 AM,02/Apr/26 10:24 AM,,,,0,Subtask under Courses List,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,,,,,,,,,,,0|i000hr:,LMS Sprint 1,,,,,10186,LMS-67,Courses List,To Do,02/Apr/26 10:24 AM
Display enrolled courses,LMS-68,10188,Subtask,To Do,LMS,LMS,software,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,Medium,,,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,02/Apr/26 10:24 AM,02/Apr/26 10:24 AM,,,,0,Subtask under Courses List,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,,,,,,,,,,,0|i000hj:,LMS Sprint 1,,,,,10186,LMS-67,Courses List,To Do,02/Apr/26 10:24 AM
Courses List,LMS-67,10186,Task,To Do,LMS,LMS,software,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,Medium,,,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,02/Apr/26 10:24 AM,02/Apr/26 2:26 PM,,,,0,Task under My Courses,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,,,,,,,,,,,0|i000hb:,LMS Sprint 1,,,,,10184,LMS-66,My Courses,To Do,02/Apr/26 10:24 AM
My Courses,LMS-66,10184,Epic,To Do,LMS,LMS,software,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,Medium,,,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,02/Apr/26 10:24 AM,02/Apr/26 10:24 AM,,,,0,User enrolled courses,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,,,,,,,,,,,0|i000h3:,,,,,,,,,To Do,02/Apr/26 10:24 AM
Play/pause controls,LMS-65,10183,Subtask,To Do,LMS,LMS,software,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,Medium,,,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,02/Apr/26 10:24 AM,02/Apr/26 10:24 AM,,,,0,Subtask under Video Preview,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,,,,,,,,,,,0|i000gv:,LMS Sprint 1,,,,,10179,LMS-63,Video Preview,To Do,02/Apr/26 10:24 AM
Integrate player,LMS-64,10181,Subtask,To Do,LMS,LMS,software,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,Medium,,,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,02/Apr/26 10:24 AM,02/Apr/26 10:24 AM,,,,0,Subtask under Video Preview,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,,,,,,,,,,,0|i000gn:,LMS Sprint 1,,,,,10179,LMS-63,Video Preview,To Do,02/Apr/26 10:24 AM
Video Preview,LMS-63,10179,Task,To Do,LMS,LMS,software,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,Medium,,,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,02/Apr/26 10:24 AM,02/Apr/26 2:26 PM,,,,0,Task under Course Detail Page,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,,,,,,,,,,,0|i000gf:,LMS Sprint 1,,,,,10167,LMS-57,Course Detail Page,To Do,02/Apr/26 10:24 AM
Lecture count,LMS-62,10177,Subtask,To Do,LMS,LMS,software,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,Medium,,,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,02/Apr/26 10:24 AM,02/Apr/26 10:24 AM,,,,0,Subtask under Course Info UI,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,,,,,,,,,,,0|i000g7:,LMS Sprint 1,,,,,10169,LMS-58,Course Info UI,To Do,02/Apr/26 10:24 AM
Duration,LMS-61,10175,Subtask,To Do,LMS,LMS,software,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,Medium,,,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,02/Apr/26 10:24 AM,02/Apr/26 10:24 AM,,,,0,Subtask under Course Info UI,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,,,,,,,,,,,0|i000fz:,LMS Sprint 1,,,,,10169,LMS-58,Course Info UI,To Do,02/Apr/26 10:24 AM
Description,LMS-60,10173,Subtask,To Do,LMS,LMS,software,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,Medium,,,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,02/Apr/26 10:24 AM,02/Apr/26 10:24 AM,,,,0,Subtask under Course Info UI,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,,,,,,,,,,,0|i000fr:,LMS Sprint 1,,,,,10169,LMS-58,Course Info UI,To Do,02/Apr/26 10:24 AM
Display title,LMS-59,10171,Subtask,To Do,LMS,LMS,software,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,Medium,,,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,02/Apr/26 10:24 AM,02/Apr/26 10:24 AM,,,,0,Subtask under Course Info UI,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,,,,,,,,,,,0|i000fj:,LMS Sprint 1,,,,,10169,LMS-58,Course Info UI,To Do,02/Apr/26 10:24 AM
Course Info UI,LMS-58,10169,Task,To Do,LMS,LMS,software,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,Medium,,,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,02/Apr/26 10:24 AM,02/Apr/26 2:26 PM,,,,0,Task under Course Detail Page,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,,,,,,,,,,,0|i000fb:,LMS Sprint 1,,,,,10167,LMS-57,Course Detail Page,To Do,02/Apr/26 10:24 AM
Course Detail Page,LMS-57,10167,Epic,To Do,LMS,LMS,software,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,Medium,,,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,02/Apr/26 10:24 AM,02/Apr/26 10:24 AM,,,,0,Detailed course view,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,,,,,,,,,,,0|i000f3:,,,,,,,,,To Do,02/Apr/26 10:24 AM
Add to dashboard,LMS-56,10166,Subtask,To Do,LMS,LMS,software,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,Medium,,,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,02/Apr/26 10:24 AM,02/Apr/26 10:24 AM,,,,0,Subtask under Enrollment,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,,,,,,,,,,,0|i000ev:,LMS Sprint 1,,,,,10158,LMS-52,Enrollment,To Do,02/Apr/26 10:24 AM
Success message,LMS-55,10164,Subtask,To Do,LMS,LMS,software,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,Medium,,,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,02/Apr/26 10:24 AM,02/Apr/26 10:24 AM,,,,0,Subtask under Enrollment,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,,,,,,,,,,,0|i000en:,LMS Sprint 1,,,,,10158,LMS-52,Enrollment,To Do,02/Apr/26 10:24 AM
Enroll API,LMS-54,10162,Subtask,To Do,LMS,LMS,software,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,Medium,,,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,02/Apr/26 10:24 AM,02/Apr/26 10:24 AM,,,,0,Subtask under Enrollment,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,,,,,,,,,,,0|i000ef:,LMS Sprint 1,,,,,10158,LMS-52,Enrollment,To Do,02/Apr/26 10:24 AM
Enroll button,LMS-53,10160,Subtask,To Do,LMS,LMS,software,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,Medium,,,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,02/Apr/26 10:24 AM,02/Apr/26 10:24 AM,,,,0,Subtask under Enrollment,,Ankush Kumar,712020:eebd227b-da3f-437c-8ebc-68f5ce698650,,,,,,,,,,,,0|i000e7:,LMS Sprint 1,,,,,10158,LMS-52,Enrollment,To Do,02/Apr/26 10:24 AM
